Class,Text
no,"                            You poor thing. I had the flu the first full week in January and it was the sickest I have been in four years. Nasty, nasty stuff. Take it easy as it is the only way to get over it!"
no,  Doctor Blows Whistle on Flu Shot: 'It’s Designed to Spread Cancer' 
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
yes,  Is this some twisted joke? We received a snow day and I literally have the stomach flu 
no,  I guess he beat the flu... 
yes,  lmk why when i went to the doctor they said i have flu B an my dad said “suu whoop” i hate him
no,   Works like a charm. Make sure to drink a lot of water and have a lot of electrolytes to fend off keto fl…
no,Higher prices help foie gras farmers overcome bird flu crises 
no,The government of Slovakia has revealed that the flu outbreak of 2018 was actually the work of Halle Berry in a lawn wig.
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
no,...and found floating down a river. 
yes,dude i know right smh i caught my brothers flu 
no,"100 years ago, the 1918 flu pandemic devastated entire communities and took an estimated 675,000 American lives. CDC uses its science, surveillance, and service to address the continuing threat. Check out  pages commemorating the contagion:   "
no,  Flu still kills millions every year 
no, ooh wow so now this flu comes monthly ...some of us are employed by school how um i suppose to do my work feeling like this
no,Although we made it through cold and flu season - natural immune support ingredients are always in demand! Find out more about our unique immune support ingredients sourced from mushrooms.*  
no,  More Asthma Triggers to avoid include:  Common cold and flu Non steroidal anti inflammatory painkillers like aspirin an…
no,  Try Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #ga…
no," I took a month and a half off bc I had awful flu during crash so couldn’t do anything. It broke my heart so had to take a break. Didn’t miss much, but fortunately I had a few sell orders set. Things are heating back up now tho. So I def feel ya! "
yes,  When I have flu but  malume just doesnt allow negativity in my system . 
no,Warmer weather means Canine Flu will start to spread at dog events. Most dogs that come into contact with the flu will get it. It's rarely deadly but the vaccine can help reduce severity &amp; duration of symptoms. #doglovers #canines  
no, Or maybe he has the flu
yes,Wlc  Cold Flu 
no,When you go to hospital thinking you have the flu and you actually need to get two surgeries ..
yes, Trying to rest I am with fever and flu
no,  The editor of the  Jenni Middleton praises everyone in the room for the work they put in to our #NHS #flu…
no,. of  at  defends his dissertation! Awesome modeling of flu and zika transmission and pandemics. I learned a lot!  
no,Good for you 
no,"                                                  You know flu vaccines are really just the litmus test for dumb, yeah?"
no,‘construllendo rascacielos(b r i c k s)*******yung norman foster***********mollyskylinexmaybelline’ en #SoundCloud #np 
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,"  Opinion: Due to understaffing, pharmacists are often too stretched giving flu shots, checking for drug interactions, answering ph…"
no,Is there a 'second wave' of the flu coming? What you need to know -  
no,Don’t let them fool y’all. Men are the biggest babies of all times. Big babies bigger than actual babies.   Lol. 
yes,  Dances in the rain Gets flu
no,#Diabetic How to fight off colds and flu - Shared from  [ #Diabetes
no,Brits tease 
no,What you need to know about the worst flu season in nearly a decade? 
yes, I feel for you. I've had my flu shot but it feels like I got the flu anyway. Hang in there.
no,"  New research says that even a flu shot that's only 20% effective could avert 21 million infections and save 61,000 lives -- if e…"
yes,My white blood cells watching this flu absolutely ruin whats left of my health 
yes,I need a dom. hubby be like mom taught me better... wth.... reading this tonight if I can last. stupid flu. 
no,#MakeABandSickly Rage Against the Chemo Machine Fat Lizzy Black Death Sabbath Flu Fighters Weezing  I'm infecting all the bands!
yes,LMK HOW I GET THE FLU NOW AND A UTI AND A FOOT INFECTION WHEN ITS FINALLY 80 DEGREES AND BEFORE FINALS LMK 
yes,Hahaha I love having the flu and getting dumped on Easter hahahaha. Someone shoot my fucking brains out please.
yes,  My lyf is hectic I'm sick with flu nd I'm bleeding 
no,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,"Have you got the ""Jogodo"" flu, the only flu that makes you love #DonMula.  DL Here -&gt;  ("
no,"In the height of flu season, and allergy season on the way, one major medicine is on the recall list. "
no,#MakeABandSickly - The Flu Fighters
no,"  Even though #flu season is slowing down and spring is technically here, don't neglect the good hand washing habits you us…"
no,   He spoke out about the strand of flu that would become an epidemic and kill thousands of ppl which it did. Then…
no,  Let's see how these pieces come together. Anyone else smell mandatory flu vaccines (that GIVE you the flu) and martial law…
no,Imperfect flu shots still prevent thousands of deaths  
yes,  Coreau was suppose to be the starter tonight. Bout of flu. Howard starting. McCollum flying in to back up.
yes,This Coachella flu is not the business
no,  Who’s your golden artist ? Mine is STILL Flu-Nashid (though he’s gone) cause his music lives with me every single day. 
yes,"Hoping that this stays as just a cold and doesn't develop into what mum had last week.   She got asthmatic flu, started of with just cold symptoms.   I caught the cold just as her asthmatic flu cleared up (with the help of an inhaler medicine)"
no,  My mate  is running for Shelter despite having just had ‘flu. Every day her energy and strength inspire me but never more than with the commitment she’s shown to this 
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,  My son died 2 weeks ago from flu b &amp; sepsis. Please help me to help others. Read about Dylan. If you are ill &amp; no bett…
no,"So on the SAME DAY good news breaks on Korean peace, the Clint- err Gates/Page foundations release news of $12M funding for vaccines to prevent another doomsday flu pandemic, coinciding w/ 100th anniversary of 1918 Spanish Flu that killed 40M?  #ICallBullshit"
yes,  When I have flu but  malume just doesnt allow negativity in my system . 
no,Necessities when working in an office during cold/flu season: -Airborne or Emergen-C -Warm beverages -Clorox wipes -Desk blankie  And my personal fav: -Resting bitch face/terrible attitude to keep people possibly harboring germs tf away from my office  
yes,"   Sisera has the flu, Fabienne a migraine, Dean a ""fight"" with a segway, I fell down the stairs ... Group hug! "
no,#Microbes 6 Things You Need To Know About This Flu Season - Seasonal Fluactivity Ha.. [ #Virus 
no,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…
no,"  Djinn Jongin Kai wasn’t originally on my list of ‘Kpop x Myths’, but I thought of this combo while laying in bed w…"
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,"Excited for  ISLE OF BLOOD AND STONE? Check out her other YA, A DEATH-STRUCK YEAR for $2.99!   A deadly pandemic, a budding romance, and the heartache of loss make for a stunning coming-of-age teen debut during the 1918 flu epidemic.  "
yes,Battle is two days away and I have the flu...
no,I’m at city MD and just got the craziest side eye Bc i said i didn’t get the flu shot this year.
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,Study confirms vitamin D protection against cold and flu  #SmartNews
no,  Ok Louisiana... I’m ready! I’m damn sorry about canceling Saturday. But I’m over the flu now and gonna make up for it ton…
no,NIH Scientist Expects Universal Flu Vaccine in 5 Years (MedPage Today) -- But only version 1.0 -- a really effective product 'is many years out' 
no,  The latest The FEMS Weekly!  Thanks to    #h1n1 #flu
yes,I’ve probably lost like 6 lbs from this flu 
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
no,New numbers are showing another drop in doctors visits due to the flu. Read this article to learn more. 
no, Yeah I felt like that Tues but got a load of flu tablets and have leathered them I’m ok now I’ll be worse tomorrow 
no,"Do you get the flu shot? More research is needed, but WebMD reports that a flu shot may guard against flu-related irregular heart rate and atrial fibrillation."
yes,You now have Asian Flu.
no,#ClicksFightTheFlu Get vaccinated 
yes,  i prob have the flu rt to own an anti-vaxxer 
no,Queen Elizabeth Hospital restricts visitors to prevent spread of flu  #pei
no,Suffering with flu? Feeling poorly? We have been there. Take a look at this great post  #flu #Australia
no,  A little bit of toxic masculinity a day keeps the man flu away.
no,  #MakeABandSickly Flu Fighters
yes,  I am feeling better today. I think it was just a flu or food poisoning.
no,  Let's see how these pieces come together. Anyone else smell mandatory flu vaccines (that GIVE you the flu) and martial law…
no,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…"
no,Higher prices help foie gras farmers overcome bird flu crises 
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
no,The government of Tanzania has revealed that swine flu was actually the work of Leelee Sobieski in a tulle wig.
yes, So u decided to not read “damn flu”?
no,Be prepared in case of a #flu pandemic.  Find resources and info here: 
no,"Oh wow I don’t think I used a filter here? But this was two years ago. I had the flu and I think I was single. Thinner eyebrows, cause back in the 90’s everyone had thin eyebrows. But yeah, no sponsors then, no sponsors still  I do love ABH though. "
no,What goes around comes around... 
no,"    Maybe you should stop pushing this #fake alarmism from the government, #BigPharma &amp; the #CDC  #Epic…"
no, mosa said kill that spider man cow so many flu virus in cow milk even u boil milk but bacteria still alive
no,"  The #flu season may have peaked, but it's not over yet. As you gear up for gatherings this #EasterWeekend, ask #WhoCanYouProtect…"
yes,I thought college would be better because I thought that people would all wash their hands. But NO. They don’t. This is the reason why the flu hasn’t gone away yet. Y’all nasty
no," I keep hearing this with other people. It just hits you all of a sudden and drains you from all your energy like the flu I guess. Try and rest as much as you can Gavin, we want you back to your jolly self x"
yes,White Sox's Abreu leaves game because of flu-like symptoms 
no,"Bird Flu de Tom Staar, Corey James  #NowPlaying"
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no,  #MakeABandSickly Flu Fighters
yes,  When I have flu but  malume just doesnt allow negativity in my system . 
yes,Me thinking about the gym while the flu is destroying my body rn 
no,"  ""If you stand next to enough bleeding people, you get bloody. If you breathe the air of patients with the flu, you get the flu…"
no,"There’s nobody I love more than Flu, Woodtip &amp; Jake but damn nobody knows how to get under my skin as much as them lol"
no,I had to get another flu shot today because my old command is so irresponsible that they forgot to put it in last time. 
yes,Fuck this stomach flu bullshit 
no,"  The flu can lead to serious illness. Protect yourself and others. For more info, visit  "
no,themessednest Congrats on your 250 tweet!   
no,"  I went through the awful fever flu in January. Seriously awful, I hope you don’t get it!"
yes,  CDC Says 2nd Wave of #Flu Virus B Has Started  
no,"  Kate Pilcher, Director of Operations presented our inpatient team based at Arundel &amp; District Hospital with a selection of goo…"
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,What you need to know when taking Antivirals for the flu  #TuesdayThoughts #ConneysPharmacy 
no,"Most of us would do anything to get out of work.  But don’t let a “sick” house force you to stay home.  Steri-Clean can treat your house in an hour or two to kill the flu, MRSA, C-Diff, e-bola, pseudomonas, etc.  Contact us at  or at 888.577.7206. "
yes,I really got the flu 
no,"Specialized massage improves the flow of lymph through the body, relieving aches, pains, and flu-like symptoms."
no," Yes, the terrible Honk Kong flu ! I’m glad to hear you both are feeling better. x"
yes,What sucks about having a big family is that if one sibling get the stomach flu then we ALL get it 
yes,Sacramento News CDC warns of second wave of flu virus  
no,themessednest Congrats on your 250 tweet!   
no,"#ScripsNow followers I hope you enjoy my new healthcare article, There's a Second Flu Wave Coming — and It's Especially Bad News For Those With Little Kids "
yes,Been battling the flu all day but excited about prospective  clients. Summer is coming and educators need training.
no,"  Yesterday, I journeyed to a limestone hideout near the swamps of a forgotten burg. I spent some time conversing with a…"
yes,So I have food  poisoning and the flu. #DyingRN 
no, Chemtrails...be careful sir...first you’ll get the chemtrail cough and then chemtrail flu...very bad
no,   you need one of these 
yes,Yeet lets start spring break by getting sent home early with the flu
no,Predicting Fluid By Passive Leg Raise Plr - Shared from  [ #Patients 
no,"  There  is no one sign for sepsis. Sepsis is a serious condition that can initially  look like flu, gastroenteritis or…"
no,Discovery Paves Way for Better Flu Prevention &amp; Treatment (source: labmanager)  
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…
no,  Behind the scenes yesterday with photographer Alysha Nett for Camp Out Magazine  - Hair and makeup by Miss Rockwell De…
no,How much #mucus can a human body project? The Answer is too much to give a clear answer.  On #IAJAC-   On #iTunes-    #listen #subscribe #stream #follow #like #hear #customer #customerengagement #uk #kms #cold #commoncold #flu #gross
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,A leading doctor has released a video statement in which he reveals that the flu shot has been intentionally laced with “cancer-causing ingredients.” . #vaccines #mutation #death #doctor #truth #flushot #spread #cancer #video #cancercausing #ingredients #vaccineskill #flu #h3n2 
yes, I'm getting over the stomach flu and one thing that is helping me recover is your gta game play videos. Thank you
no,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…
no,  Let's see how these pieces come together. Anyone else smell mandatory flu vaccines (that GIVE you the flu) and martial law…
no,Tadhg Kennedy from Roundfort joined Tommy this morning to talk about the Swine Flu vaccine which he says brought on narcolepsy in his son. Listen back to the interview now.  
yes,The flu is no joke i feel like i got hit by a bus
yes,"I'm going to start calling in sick to work with ""flu-like symptoms"" "
no,PSA: This it not recommended! Get your flu shot! #CarrollUStopstheFlu #Vaccination 
no,What you need to know about the worst flu season in nearly a decade? 
no, Haven’t you heard? Google searches track flu season as accurately as the cdc.
no,"The (slightly shorter than usual, due to man-flu) podcast is now available to download! Something good to listen to on a Bank Holiday Monday!! #CPFC "
yes," Fighting the Flu, but will do so while rooting and cheering these dudes on from Elizabeth City, NC #GoBlue"
no,  just found out today that Alka-Seltzer was originally meant to treat flu
no,"Little known fact: the original title was ""Severe Flu of a Salesman"".  "
yes,Bro got the flu smh
yes,The CDC is warning that a second wave of flu is hitting the U.S. and the latest strain impacts small children more severely. 
no,"  50,000 Now Dead From Flu Outbreak: Mainstream Media Blackout!  "
no,Gripa y Selena  Flu &amp; Selena  Makeup done Live in Instagram @ New York metropolitan area
no,"Well, at least I didn't catch the flu."
no,"    It’s used a preservative cos who the heck wants the risk of fungi in their vaccination. It’s way below the safe limits of ingestion. I have a minor heart defect so get the flu jab each year for free. Vaccinations are awesome, and literally the the only preventative we have. "
no, He had also previously voiced concerns about the latest flu vaccines to management. Then disappears afterwards...just to find his body floating down a river. Then the CDC changed its statement bout him not getting/getting a promotion. An odd set of circumstances.
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no, v cold oh i use hot water then change to cold water then kena flu
no,"I can't imagine this, but it is the case for pediatric cancer patients.      #STARAct #StepUp "
yes,"Now that the flu has hit me too, Ire and I have started a new game. I’ve set a timer for every 5 minutes. When it goes off, we take a hit of Pedialyte. Gotta hydrate."
no,"  Miley Cyrus has empowered all of us to take back apologies from 10 years ago. Hey Jim, I’m not sorry you got the flu a…"
no,  Thank you  for encouraging me to do the nearly impossible: put this loss into words. May we continue to shed…
no,Hey girl I’m trying to binge watch ya butt when I get the flu
no,   If you have a record of Dr. Timothy Cunningham telling you “this year’s flu shot is behind the deadly f…
yes,This flu is fierce. It's like the RuPaul of flus.
no,Flu shots are pretty useless. They don't even work most of the time. 
no,I guess he beat the flu... 
no,Higher prices help foie gras farmers overcome bird flu crises 
no,"Massive flu outbreak? Here’s the real story the media won’t touch. The lies, the hoax, the scandal. « #vaccine #vaxxed  "
no,Keep him! He's a seldom breed 
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,  Super interesting talk on how H7H9 flu vaccination in poultry helped to eliminate human deaths in China  #iCOMOS2018 by Dr. Hu…
yes,  This flu must not even try me abeg o ......
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,"  It is not uncommon to see a late season increase of influenza B activity, but overall flu activity is declining. CDC will continue to monitor flu activity and publish surveillance reports each week at  (2/2)"
no,"100 years after the #1918Flu pandemic, CDC’s scientists and doctors serve on the front lines to respond to seasonal flu and to help detect and prepare for novel flu threats.  #CDCEIS18 "
yes,  Throwing a party when I get over this flu  but hi twitter sorry for being inactive 
no,"Look at this little face! &lt;3 Gainsford came to us with tummy issues and flu which has taken a while to resolve.  Now though, this cheeky and loving lad is looking for someone to give him a chance and a brand new home.  #FindEachOther #Sheffield "
no,"Child dies of H1N1 in Venezuela, without vaccines for that flu "
no,LMAO my dads so dramatic . He got the flu/cold and hes like “ trai me un papel para escribir mi testamento (will)” .
no,"Boise Indoor Air Quality Solutions For The Upcoming Spring Season |  #AC  Boise Indoor Air Quality Solutions For The Upcoming Spring Season Although spring is just around the corner, the flu season is still running strong in the Treasure Valley. Worse yet… "
no, Tiny micro organisms that come to Earth and infect us humans with the flu.
no,                  why do                                   i catch feelings                           easier than                                  the flu ????                   
yes,"Flu: 2, Shannon: 0"
yes,I took a flu shot and now I have flu 
yes,  I am finally over the flu  and was able to film this weeks video today. Now I edit until sunrise... SEE YOU GUYS TOMORROW.
no," It’s definitely not a hangover, I didn’t even get drunk "
yes,I am literally such a baby when I have the flu like I am literally dribbling and begging for attention
no,  Why y’all think you’re able to diagnose mental illness when you don’t know if you have a viral or bacterial flu 
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,   #TBT to last week. We partnered with  and  and  to bring the flu vaccine straight to your d…
no," Hi Ms. Hart! To see our latest flu report, please visit this page:  and click the ""Weekly data of state influenza activity"" report link under ""Surveillance reports."" That report will be updated each week. Here's the latest one: "
no,"Funny  how a  computer  guy  is  all  of a sudden controlling the 'what"" ""How"" &amp; ""when"" society uses for medicine-pretty  sick and strange "
no,What Can You Do to Prevent Your Baby Or Toddler From Catching the Flu? 
yes,The flu is SO fun 
yes,But she has the flu and is bored at home all day and I'm taking care of her and she said I'll be a great mom one day so I can't be mad at her for long
no,"   Negalase.. kills off immune system then have flu jab or MMR for kids.. just watch. 2 yrs ago it didn't work, as 'the wrong strain' of vaccine was given.. i.e.; not potent enough. Next time they won't miss."
no,Rose Namajunas was paid her show and win money for a fight cancellation in 2015. Can't recall any other instance since then apart from Leslie Smith last week. 
no,  king princess is the lesbian version of all those white boys that y'all nut over who look like they have the flu
yes,"  Me: Damn, just got flu again  People: "
no,I’d rather catch feelings that aren’t reciprocated than get the vicious disease that is man flu  
no,Dianne Williams is requesting prayer. She has had a stomach flu bug for 72 hours. Joan Huffman has suffered some nasty burns from grease.
yes,Went to the gym after a week because I had flu and shit and man did it feel good had a solid 2 hour workout!!!
no,"In this photo, the MRC Los Angeles is conducting a flu vaccination point of dispensing drill at a local school in partnership with the City of Pasadena Public Health Department. Congrats to MRC Los Angeles! #MRCAwards "
no,"You are a good writer,  ""The last time the Patriots won less than 12 games, swine flu was a global pandemic and MySpace was the No. 1 social network in the United States (2009)."""
no, They reckon there’s an awful bout of flu came over from Columbia like!
no,  Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #gamede…
no,"  Albert McKenzie VC from the Zeebrugge Raid, today 1918. Southwark lad. Died of the Spanish flu later in the year. Buri…"
yes,managed to avoid flu all my life till now and I deffo wanna die 
yes,CDC says 2nd wave of flu virus B has started  
no,          hey sis...thanx...hope all is well with you...sorry...slept most time todayfluly lots sis 
yes,ugh kate really kissing rana even tho she’s sick. girlfriends who get the flu together stay together. 
yes,I also have a fucking sinus infection on top of the flu fan fucking tabulousssss 
no,i feel like 2pac bitch i’m sicker than a flu shot
yes,I Have The Flu
no,I hope it’s not the flu
yes,I'm very sick with 'flu today. Breathing difficulties etc. Been in bed all day. I hope it doesn't last too long.
no,"  Stormzy arrived very ill with cat flu. Left untreated, this condition can kill. Please will you give life-saving care t…"
no,Higher prices help foie gras farmers overcome bird flu crises 
yes," I know it's called the flu game, but Jordan has said that it was food poisoning.  So flu as in stomach flu.  "
yes,Flu is everywhere in America right now.   
no,Mothers against Influenza  via  #mothers #influenza #flu
no,  When a person with Multiple Sclerosis is asked to spend time with friends &amp; there's a possibility will end up around som…
no, You are a very smart lady to take your husband to the ER.  The flu almost killed me 2 years ago. Had to dial 911. (Sorry about Hellboy)
no,"  This has been doing the rounds, ANYONE have any info? "
no,"With cash and a call for new ideas, Bill Gates tries to boost the campaign for a universal flu vaccine "
no, Have you the flu? I had it at Christmas and then a different strain in February... dreadful start to the new year X
no,How to Stay Healthy During Flu Season 
no,Higher prices help foie gras farmers overcome bird flu crises  
no,"#dubai #fashion #iphone #shop #beauty(Nature's Way Kids Smart Vita Gummies Cold &amp; Flu, Immunity 60 Pastilles, for Healthy Immune System, Health, Well being)Link: "
no,Yesterday = I cursed in front of my sons teacher •my other son said he didn’t want a flea shot (aka: flu shot) •made a horrible mom joke. Made me laugh out loud&gt;&gt; my kid was like “mom what’s so funny?” #BadMomMoment #MomHumor
no,Download Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #gamedev #indiedev #indiegames #indiegame #videogame #indiegamedev  68
no,"The Police have found a large number of dead crows on the M6 just outside Liverpool early this morning, and there was concern that they may have died from Avian Flu."
yes,This perfectly illustrates how I feel a flu coming on... 
no,"   NOT FUN DAY AT THE HOSPITAL | FLU SWAB, PFT'S &amp; A BLOWN VEIN  (4.2.18):  via "
yes,"So...this is where I am if you are looking for me. Again today, Tuesday NO FB LIVE as I'm held hostage by Mr. Flu Bug. Stay far, far away my friends, he is after your very soul ;) "
no,Kate appears to have sucked the flu out of Rana and absorbed it so that it was never there. And Rana is the nurse? #corrie
yes, fuck the flu mike. feel like im goin to die whenever i get it
no,All the good ones have been taken  
no,"If you tend to get sick after airline travel, you need to read this. // How Not to Get Sick on a Plane? Choose Your Seat Wisely "
no,Not more than hunger. 
no,  Like shit and then ya mom tried to quarantine the sick kids from the unsick ones  
no,"It was way back when, I accepted I was going 2 encounter opposition every step of the way. So I went 2 Canberra in August 2013. I got a temporary UK p/port &amp; the flu. It put me in bed for weeks."
no,   I've just seen you are doing a thread about #Sepsis please could you retweet this from this amazing l…
no,"  Bee Prepared immune support PORRIDGE, with  bee design!  #ukbloggers #irishbloggers #lovelondon #fitfamuk #pbloggers #m…"
no,  RIP to Timothy Cunningham. At the very least maybe his death will open the eyes of those ignorant to the vice grip phar…
no,"""EVS feel rushed impacting quality of cleaning"" this was a major issue during this past horrendous flu season #SHEA2018   "
no," You never wish injury upon anyone, but...maybe a really nasty 10 day DL flu bug?"
no, I fucking hate international break .... but it’s preferable to the nausea and stomach flu Chels v Front Wheels will give me on the weekend.
no,  Study predicts 2018 ##fluvaccine will have 20 percent efficacy  
yes,I really got the stomach flu 
yes,  I have the flu  send to make mommy feel better     
no,Golden Knights: Does The “Vegas Flu” Still Exist? 
no,The Original Flu Shot!! What Do You Get Today? Speedy Flu Shot Laced With Mercury!! #organic #healthy #opportunity 
no,"  ""The big chunks always float to the top of the cesspool.""  The Devil went down and dirty; her flu spew. Looking to shit…"
no,  Are you struggling to get over the flu this season? Vitamin C IVs are a great way to give your body the boost it needs to help fight off bacteria’s and viruses. #… 
no,"  Best of luck  you deserve this, absolutely smashed our  #flufighter campaign  "
no,  Why Are The Viruses All Gone?  Cause They FLU AWAY 
no,"The real world isn’t like Hollywood. Despite what we might see in TV shows like 24 or movies like Contagion, we don’t have teams of experts ready to spring into action at the first signs of a global outbreak.  But we... "
yes,"You see, I tell my children 'You must take a coat!' but do they listen, NO! Now  been hit with the flu. It's your own fault! As my granny used to say ""if you can't hear you will feel!!"""
no,"Got to hang out with the church’s Kids’ Club last night, although I’m pretty sure they all coughed on me at least once. Unrelated note: I’m getting like 10 flu shots today."
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,Theraflu ExpressMax Severe Cold  
no,  Irish flu vaccines. 
yes,  I am sick with the flu and this lovely review from  has made my day! 
no,"  Born OTD in 1066, William Shakespeare was the great-grandson of St George. He defeated the Spanish Flu &amp; went on to write Gam…"
yes, I'm a big man to be getting the flu
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,"  Latest FluView report shows #flu activity in the U.S. continued to decrease, and is below the national baseline for the 2nd con…"
no,  Had a flu jab today and now my arm feels like a cooked noodle 
no,  Just because Spring is here doesn't mean the flu season is over! 
yes,Just went to the doctors earlier I have the flu. The receptionist made out a bill for 100 rupees and handed it to my driver who paid we walked off to see the doctor. I could see the bitch thinking and thinking then she called us back and changed the 1 to a  bloody 9 charged me900
yes,it’s the nicest day of the year &amp; Trent called off work and is currently dying on the couch of a hangover/flu mixture 
no, Remember stomach flu can last up to 10 days and something good for it is ginger tea or peppermint tea...stay hydrated for migraines try advil..
no,  The reason that the White House flu shots administered by #DrRonnyJackson weren't all that success at preventing illness this…
no,"Mycelium fungus can help save the planet: clean polluted soil, make insecticides, treat smallpox and even flu viruses. "
yes,CDC warns of second wave of flu virus  
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
yes,Feeling sorry for myself #gettingthere #ihateviruses #flurecovery #flu #wishiwasoutside 
no,Imagine singing 'is this a library at a kids game' 
no," One time I went there to be tested for the flu and to get tamiflu, and they said “yeah I mean you probably have the flu but there’s no sense in testing for it now, just go home and drink lots of water”"
yes,Whoever passing the flu around Xavier fuck you lil bitch
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
yes,This flu is kicking my ass
yes,"Gaby: “you’re going to get sick after Coachella. It’s like a thing, the Coachella flu.”  Me: “okayyyy sureeee”  Also me: is sick now"
no,"    Ill? If that is the case to my mind it has to be something proper like flu (not a cold, proper flu) otherwise he is just a utter snowflake. I haven’t missed a day off work in years because of illness, I tend to battle on."
yes," long hey, flu is killing me  and yours"
yes,Flu + fever + sneezing non-stop ANNOYING SEHH
no,"  #DYK the flu, pneumonia and whooping cough are 3 illnesses most likely to be passed between older and younger generations?…"
yes,I feel true power when I go to catch a flu and actually catch. Crushing it in my soft lady hands.
no,"  ""If we do not work quickly to remove the #pandemic threat forever, those black-&amp;-white images of yesteryear—the endless rows o…"
yes,"i can feel this stomach flu slowly creeping up on me and it’s the last thing i need right now, no thanks mister next please"
no,That’ll learn ‘em. 
no,  Doctor Blows Whistle on Flu Shot: ‘It’s Designed to Spread Cancer’  via 
no,My Flu Flam Is Phenomenal
yes,"Flu Day . . .: My fever is down . . . the Tamiflu seems to be working, but more importantly, I did some valuable things on my flu day:  1) watched the Netflix documentary Take Your Pills . . . makes me wonder how the hell I get so many things done... "
no,Time to Stop Making Excuses for Flu Shots That Don't Work 
no,  Thank you  for encouraging me to do the nearly impossible: put this loss into words. May we continue to shed…
no,  A universal flu vaccine would save millions of lives &amp; prepare us for the “significant probability of a large &amp; lethal moder…
yes,the last one is my fave because ella really threw up on me one night when she had the flu
no,  TV host Rachel Reenstra living in Hollywood and her doctor bravely speak out on#chemtrail lungthe danger of #flu vaccine…
no,  Science is real. Homosapiens desiring to control who talks about science is even more real. #Galileo etc etc #Galileo e…
yes,This flu better go away before Saturday
yes,This flu got me ...ku bird. Phuma kim Satan
no, I don't know why you hate me so much and keep blocking me. I only said to get well soon from the flu and I am being polite and nice to you cause I didn't saying anything bad ines hurts my feelings.
no, ---would you like to interview an expert on dog parks and canine flu?
no, The old “stomach flu after a long weekend trick”
no,i think its just the allergies hitting me 
no,FrazzleMyGimp 10 s!  Your tweet has been liked by 10 people.   
no,"  For 70+ years, CDC has used its scientific expertise and resources to address the continuing threat and burden of influenz…"
yes,This week two days I went to work even though I was sick. Today I was struggling but still went to work and I felt like I should go to a doctor! Glad I did! Flu will keep me at home for 4-5 days! This has been a bad year with a flu!
yes, Had that when suffering from flu a couple of months ago and told by friend at work to “fuck off out of here” and get home. Was off for a fortnight 
